asin,title,brand,amazon_subcategory,action,nw_category,nw_subcategory,remap_reason
B0DQFBTG4K,"protein powder, brownie batter flavor, 25 g whey protein per scoop, low lactose, high protein for men & women with active lifestyles, perfect for shakes, smoothies, and recipes, 30 servings",ekkovision,whey protein,REMAP,ACTIVE NUTRITION,PROTEIN & MEAL REPLACEMENTS,Maps to PROTEIN SUPPLEMENTS & MEAL REPLACEMENTS / PROTEIN & MEAL REPLACEMENTS POWDER
B0785GPGXM,"spigelia 200c homeopathic remedy, urenus",urenus,single homeopathic remedies,REMAP,HOMEOPATHICS,NON-SPECIFIC,Maps to HOMEOPATHICS / HOMEOPATHICS
B0FFHS6LJ7,"nutricost nopal cactus (2000mg) 180 vegan capsules - prickly pear cactus, 60 servings",nutricost,other herbal supplements,REMAP,HERBAL REMEDIES,NON-SPECIFIC,Maps to HERBAL REMEDIES / NON-SPECIFIC
B0DM63Y1QR,"creatine monohydrate gummies 5000mg for men & women, chewables creatine monohydrate for muscle strength, muscle builder, energy boost, pre-workout supplement-180 pineapple gummies",noavii,creatine amino acids,REMAP,BASIC VITAMINS & MINERALS,AMINO ACIDS,Maps to AMINO ACIDS / AMINO ACIDS
B0F3QJ841K,"force factor ultimate magnesium supplement, 330mg magnesium glycinate & magnesium citrate, like magnesium gummies, support calm, relaxation, vegan & gluten free, mixed berry flavor, 60 soft chews",force factor,magnesium supplements,REMAP,BASIC VITAMINS & MINERALS,MINERALS,Maps to BASIC VITAMINS & MINERALS / MINERALS
B07BZT4NR7,"earthborn elements diatomaceous earth (1 gallon), resealable bucket, pure freshwater amorphous silica",earthborn elements,trace minerals,REMAP,BASIC VITAMINS & MINERALS,MINERALS,Maps to BASIC VITAMINS & MINERALS / MINERALS
B0D73JWQSJ,"(2 pack) new vida keto gummies, newvida keto acv gummies, new vita acv keto support supplement, all natural apple cider vinegar 1000mg, new keto vitamins, official new vida reviews (120 gummies)",nutrarize,weight loss supplements,REMAP,ACTIVE NUTRITION,WEIGHT MANAGEMENT FORMULAS,Maps to WEIGHT MANAGEMENT FORMULAS / WEIGHT MANAGEMENT FORMULAS
B0FBMFX7TK,"theraflu severe congestion relief nasal mist, 0.34 fl oz",theraflu,sinus medicine,REMAP,OTC,"OTC - COUGH, COLD & FLU","Maps to OTC / OTC - COUGH, COLD & FLU"
B0DSQMLMZ7,"protein your whey (30 servings, chai flavored) - whey protein isolate",wellah,whey protein,REMAP,ACTIVE NUTRITION,PROTEIN & MEAL REPLACEMENTS,Maps to PROTEIN SUPPLEMENTS & MEAL REPLACEMENTS / PROTEIN & MEAL REPLACEMENTS POWDER
B0BH6FHLHM,quality choice advanced probiotic - ultra potency - digestive and immune support - dietary supplement in 60 count bottles of capsules (3 pack),quality choice,probiotics,REMAP,PROBIOTICS+,PREBIOTICS AND PROBIOTICS,Maps to PREBIOTICS & PROBIOTICS / PREBIOTICS & PROBIOTICS
B0DN2YNDNP,"lunakaiusamadesupermushroomgummiesforadultsã10-in-1adaptogenicmushroomsupplementwithlion'smane-focus&brainsupport,60ct",lunakai,mushrooms herbal supplements,REMAP,HERBAL REMEDIES,NON-SPECIFIC,Maps to HERBAL REMEDIES / NON-SPECIFIC
B0F69PMFS4,"magna electrolyte powder drink mix, hydration, energy & focus support with magnesium l threonate, malate & glycinate, sodium, potassium, vitamin d, b6 & b12, 3 flavor variety pack, 28 srvgs per pack",magna,electrolyte drink mixes,REMAP,ACTIVE NUTRITION,HYDRATION,Maps to ACTIVE NUTRITION / HYDRATION
B088FFV6YV,"healthyhey organic spirulina powder micro superfood, rich in protein, vitamins & minerals 100 g (pack of 1)",healthyhey organic,superfoods,REMAP,HERBAL REMEDIES,FOOD SUPPLEMENTS,Maps to FOOD SUPPLEMENTS / FOOD SUPPLEMENTS
B0D2M79C6Y,"nutrarize (2 pack) pronerve6 neuropathy, pronerve 6 nerve support supplement, pro nerve 6 capsules, pronerve6 pastillas reviews (120 capsules)",nutrarize,other dietary supplements,REMAP,MISCELLANEOUS SUPPLEMENTS,NON-SPECIFIC,Maps to MISCELLANEOUS SUPPLEMENTS / MISCELLANEOUS SUPPLEMENTS
B0D93N7GZM,"center-filled magnesium glycinate gummies 400mg - high absorption for kids, teens & adults - supplement for sleep, calm & muscle relaxation with b6 & d3 - gluten free & vegan friendly - 120 count",oh my chewy,magnesium supplements,REMAP,BASIC VITAMINS & MINERALS,MINERALS,Maps to BASIC VITAMINS & MINERALS / MINERALS
B0F3VLXJ42,"herbalife nutrition personalized protein powder, health supplement for adults (200 gram, unflavored)",herbalife nutrition,protein powder blends,REMAP,ACTIVE NUTRITION,PROTEIN & MEAL REPLACEMENTS,Maps to PROTEIN SUPPLEMENTS & MEAL REPLACEMENTS / PROTEIN & MEAL REPLACEMENT POWDER
B0B4MBM3D6,"secrets of the tribe tribal cough ease alcohol-free extract, high-potency herbal drops, tincture made from lobelia, cinnamon, peppermint, ginger, elderberry, slippery elm. cough formula 2 oz",secrets of the tribe,cough drops & lozenges,REMAP,HERBAL REMEDIES,NON-SPECIFIC,Maps to HERBAL/HOMEOPATHIC COLD & FLU / NON-SPECIFIC
B0FC4GYHK5,"vittaburnliquiddropsãnaturalenergy&wellnessbooster,premiumherbalformula",vivalis,other herbal supplements,REMAP,HERBAL REMEDIES,NON-SPECIFIC,Maps to HERBAL REMEDIES / NON-SPECIFIC
B09Z1F981N,mixhers herhydration  electrolytes powder packets 15 hydration packets  sugar free blueberry coconut,mixhers,electrolyte drink mixes,REMAP,ACTIVE NUTRITION,HYDRATION,Maps to ACTIVE NUTRITION / HYDRATION
B0D2L5D3QB,"nano defense pro supplement, (official) nano defense pro advanced nail support capsules, nano defense pro pills for healthy fingernails and nail growth, nano defensepro reviews (60 capsules)",nutrarize,weight loss supplements,REMAP,ACTIVE NUTRITION,WEIGHT MANAGEMENT FORMULAS,Maps to WEIGHT MANAGEMENT FORMULAS / WEIGHT MANAGEMENT FORMULAS
