ingredient,health_focus
HORSE CHESTNUT,CARDIOVASCULAR HEALTH
HORSERADISH,"COUGH, COLD & FLU"
HORSETAIL (SILICA),BEAUTY
HUPERZINE,BRAIN HEALTH
HYALURONIC ACID (HA),JOINT HEALTH
HYDRANGEA,URINARY TRACT HEALTH
HYDRATION DRINK MIX,UNKNOWN
HYSSOP,BEAUTY
INOSINE,GENERAL HEALTH
INOSITOL,BRAIN HEALTH
IP-6 (INOSITOL HEXAPHOSPHATE),IMMUNE HEALTH
IPRIFLAVONE (OSTIVONE),REPRODUCTIVE HEALTH
IRON,GENERAL HEALTH
ISOFLAVONES,REPRODUCTIVE HEALTH
IVY LEAF,"COUGH, COLD & FLU"
JUNIPER,URINARY TRACT HEALTH
KAVA,MOOD & STRESS SUPPORT
KELP (IODINE),IMMUNE HEALTH
KELP - LECITHIN - B-6 COMBO,WEIGHT MANAGEMENT
KERATIN,BEAUTY
KETONES,WEIGHT MANAGEMENT
KOLA NUT,WEIGHT MANAGEMENT
KOMBUCHA,ENERGY SUPPORT
KRATOM,MOOD & STRESS SUPPORT
KRILL OIL,CARDIOVASCULAR HEALTH
KUDZU,REPRODUCTIVE HEALTH
LACTASE,DIGESTIVE HEALTH
LARIX - ARABINOGALACTAN - LARCH,IMMUNE HEALTH
LARIX - ARABINOGALACTN - LARCH,IMMUNE HEALTH
LAVENDER,MOOD & STRESS SUPPORT
LAXATIVES,DIGESTIVE HEALTH
LECITHIN (PHOS CHOLINE),BRAIN HEALTH
LEMON BALM,SLEEP
LEMON GRASS,URINARY TRACT HEALTH
LICORICE,DIGESTIVE HEALTH
LIDOCAINE,"COUGH, COLD & FLU"
LIGUSTRUM,UNKNOWN
LINDEN,MOOD & STRESS SUPPORT
LIVER EXTRACTS,CLEANSE & DETOX
LOBELIA,"COUGH, COLD & FLU"
LOMATIUM,IMMUNE HEALTH
LUTEIN,EYE HEALTH
LYCOPENE,PROSTATE HEALTH
LYSINE,BEAUTY
MACA,REPRODUCTIVE HEALTH
MAGNESIUM,MOOD & STRESS SUPPORT
MAGNESIUM CITRATE,DIGESTIVE HEALTH
MAGNESIUM HYDROXIDE,DIGESTIVE HEALTH
MALIC ACID,PAIN & INFLAMMATION
MANGANESE,BONE HEALTH
MANGOSTEEN,BEAUTY
MAQUI BERRY,EYE HEALTH
MARINE SOURCED,BEAUTY
MARSHMALLOW,DIGESTIVE HEALTH
MATCHA,WEIGHT MANAGEMENT
MCT (MED CHAIN TRIGLYCERIDES),BRAIN HEALTH
MEADOWSWEET,PAIN & INFLAMMATION
MELATONIN,SLEEP
MENTHOL,"COUGH, COLD & FLU"
METHIONINE,JOINT HEALTH
MILK THISTLE,CLEANSE & DETOX
MINERALS - OTHER,IMMUNE HEALTH
MISC SUPPLEMENTS - OTHER,BRAIN HEALTH
MISTLETOE,CARDIOVASCULAR HEALTH
MORINGA,CLEANSE & DETOX
MOTHERWORT,MOOD & STRESS SUPPORT
MSM,JOINT HEALTH
MUIRA PUAMA,REPRODUCTIVE HEALTH
MULLEIN,"COUGH, COLD & FLU"
MULTI COILLOIDAL MINERALS,GENERAL HEALTH
MULTI-MINERALS,GENERAL HEALTH
MULTIPLE VITAMIN - ADULT,OVERALL HEALTH
MULTIPLE VITAMIN - CHILDREN,OVERALL HEALTH
MULTIPLE VITAMIN - MENS,OVERALL HEALTH
MULTIPLE VITAMIN - SENIOR,OVERALL HEALTH
MULTIPLE VITAMIN - WOMEN,OVERALL HEALTH
MUSHROOMS - CHAGA,IMMUNE HEALTH
MUSHROOMS - CORDYCEP,ENERGY SUPPORT
MUSHROOMS - MAITAKE,IMMUNE HEALTH
MUSHROOMS - OTHER,IMMUNE HEALTH
MUSHROOMS - REISHI,IMMUNE HEALTH
MUSHROOMS - SHIITAKE,IMMUNE HEALTH
MYRRH,IMMUNE HEALTH
N-ACEYTL CYSTEINE (NAC),CLEANSE & DETOX
NADH,BRAIN HEALTH
NATTO KINASE,CARDIOVASCULAR HEALTH
NEEM,BEAUTY
NETTLES,"COUGH, COLD & FLU"
NONI,BEAUTY
NOT APPLICABLE,UNKNOWN
NOT CODED,UNKNOWN
OAK BARK,MOOD & STRESS SUPPORT
OAT BRAN,DIGESTIVE HEALTH
OATS (OATSTRAW),BRAIN HEALTH
OKG (ORNITHINE A KETO GLUT),"COUGH, COLD & FLU"
OLIVE LEAF,IMMUNE HEALTH
ORANGE PEEL EXTRACT,WEIGHT MANAGEMENT
OREGANO,IMMUNE HEALTH
OREGON GRAPE,DIGESTIVE HEALTH
ORNITHINE,CLEANSE & DETOX
OSHA,"COUGH, COLD & FLU"
OXYGENATED SUPPLEMENTS,CLEANSE & DETOX
PABA,BEAUTY
PAPAYA,DIGESTIVE HEALTH
PARSLEY,CLEANSE & DETOX
PASSIONFLOWER,SLEEP
PAU DARCO,CLEANSE & DETOX
PECTIN,GENERAL HEALTH
PEDIATRIC ELECTROLYTES,ENERGY SUPPORT
PENNYROYAL,REPRODUCTIVE HEALTH
PEONY,BRAIN HEALTH
PEPPERMINT AND OTHER MINTS,DIGESTIVE HEALTH
PERIWINKLE,MOOD & STRESS SUPPORT
PHENYLALANINE,ENERGY SUPPORT
PHOSPHATIDYL SERINE,BRAIN HEALTH
PHOSPHORUS,"COUGH, COLD & FLU"
PHYLLANTHUS,CLEANSE & DETOX
PICRORHIZA,CLEANSE & DETOX
PLANT STEROLS - OTHER,CARDIOVASCULAR HEALTH
PLANTAIN,"COUGH, COLD & FLU"
PLEURISY,"COUGH, COLD & FLU"
POKE ROOT,BEAUTY
POLICOSANOL,CARDIOVASCULAR HEALTH
POLYSACCHARIDE-IRON COMPLEX,GENERAL HEALTH
POMEGRANATE,IMMUNE HEALTH
POPPY,SLEEP
POTASSIUM,CARDIOVASCULAR HEALTH
PQQ,CARDIOVASCULAR HEALTH
PREGNENOLONE,BRAIN HEALTH
PRICKLY ASH OR ASH BARK,EYE HEALTH
PRIVATE LABEL NOT CODED,UNKNOWN
PROBIOTIC SUPPLEMENT,DIGESTIVE HEALTH
PROGESTERONE TOPICALS,REPRODUCTIVE HEALTH
PROTEIN - ANIMAL & PLANT COMBO,WEIGHT MANAGEMENT
PROTEIN - ANIMAL - CASEIN,WEIGHT MANAGEMENT
PROTEIN - ANIMAL - EGG,WEIGHT MANAGEMENT
PROTEIN - ANIMAL - GENERAL,WEIGHT MANAGEMENT
PROTEIN - ANIMAL - MEAT,WEIGHT MANAGEMENT
PROTEIN - ANIMAL - MILK & EGG,WEIGHT MANAGEMENT
PROTEIN - ANIMAL - MULTI,WEIGHT MANAGEMENT
PROTEIN - ANIMAL - WHEY,WEIGHT MANAGEMENT
PROTEIN - ANIMAL - WHEY & CASEIN,WEIGHT MANAGEMENT
PROTEIN - ANIMAL - WHEY & EGG,WEIGHT MANAGEMENT
PROTEIN - ANIMAL - WHEY & MILK,WEIGHT MANAGEMENT
PROTEIN - PLANT - GENERAL,WEIGHT MANAGEMENT
PROTEIN - PLANT - MULTI,WEIGHT MANAGEMENT
PROTEIN - PLANT - PEA,WEIGHT MANAGEMENT
PROTEIN - PLANT - RICE,WEIGHT MANAGEMENT
PROTEOLYTIC ENZYMES,JOINT HEALTH
PSYLLIUM,CARDIOVASCULAR HEALTH
PUMPKIN,URINARY TRACT HEALTH
PYCNOGENOL (PINE BARK),CARDIOVASCULAR HEALTH
PYGEUM,PROSTATE HEALTH
PYRUVATE,BLOOD SUGAR SUPPORT
QUERCETIN,"COUGH, COLD & FLU"
RED CLOVER,REPRODUCTIVE HEALTH
RED RASPBERRY,ENERGY SUPPORT
RED ROOT,IMMUNE HEALTH
RED YEAST RICE,CARDIOVASCULAR HEALTH
RELORA,WEIGHT MANAGEMENT
RESVERATROL,CARDIOVASCULAR HEALTH
RHEUMANIA,ENERGY SUPPORT
RHODIOLA,MOOD & STRESS SUPPORT
RHUBARB,REPRODUCTIVE HEALTH
RIBOSE,ENERGY SUPPORT
RNA/DNA,BEAUTY
ROOIBOS/OTHER AFRICAN BUSH TEA,BEAUTY
ROSEHIPS,IMMUNE HEALTH
ROSEMARY,BRAIN HEALTH
ROYAL JELLY,ENERGY SUPPORT
RUTIN,CARDIOVASCULAR HEALTH
SAFFRON,MOOD & STRESS SUPPORT
SAGE,"COUGH, COLD & FLU"
SALINE (SODIUM CHLORIDE),GENERAL HEALTH
SAM E,MOOD & STRESS SUPPORT
SARSPARILLA,CLEANSE & DETOX
SASSAFRAS,CLEANSE & DETOX
SAW PALMETTO,PROSTATE HEALTH
SCHIZANDRA,MOOD & STRESS SUPPORT
SEA BUCKTHORN,BEAUTY
SELENIUM,PROSTATE HEALTH
SENNA,CLEANSE & DETOX
SENNOSIDE,DIGESTIVE HEALTH
SEVEN-KETO,WEIGHT MANAGEMENT
SHARK CARTILAGE,BEAUTY
SHATAVARI,REPRODUCTIVE HEALTH
SHEPHERDS PURSE,"COUGH, COLD & FLU"
SIMETHICONE,UNKNOWN
SKULLCAP,MOOD & STRESS SUPPORT
SLIPPERY ELM BARK,"COUGH, COLD & FLU"
SOY FOODS,IMMUNE HEALTH
SPECIALTY REMEDIES (HOMEO),"COUGH, COLD & FLU"
SPIRULINA BLUE GREEN ALGAE,IMMUNE HEALTH
SQUAW VINE,REPRODUCTIVE HEALTH
ST JOHNS WORT,MOOD & STRESS SUPPORT
STEVIA,ENERGY SUPPORT
STRONTIUM,BONE HEALTH
SUBCATEGORY NOT CODED,GENERAL HEALTH
SUMA,REPRODUCTIVE HEALTH
SUPER OXIDE DISMUTASE (SOD),CLEANSE & DETOX
SUPPLEMENTAL CARB SOURCE,ENERGY SUPPORT
SWEET ANNIE,UNKNOWN
TAURINE,ENERGY SUPPORT
TEA TREE OIL,CLEANSE & DETOX
THEANINE,MOOD & STRESS SUPPORT
THUJA,"COUGH, COLD & FLU"
THYME,"COUGH, COLD & FLU"
THYMUS EXTRACT,IMMUNE HEALTH
THYROID EXTRACT,ENERGY SUPPORT
TMG (TRIMETHYLGLYCINE),CARDIOVASCULAR HEALTH
TOCOTRIENOL COMPLEX,BEAUTY
TRACE MINERALS,GENERAL HEALTH
TRIBULUS,REPRODUCTIVE HEALTH
TRIPHALA,CLEANSE & DETOX
TURMERIC,JOINT HEALTH
TYROSINE,ENERGY SUPPORT
UNKNOWN,GENERAL HEALTH
USNEA,"COUGH, COLD & FLU"
UVA URSI,URINARY TRACT HEALTH
VALERIAN,SLEEP
VANADYL SULFATE,BLOOD SUGAR SUPPORT
VEGETABLE SUPP OILS - OTHER,DIGESTIVE HEALTH
VERVAIN,"COUGH, COLD & FLU"
VINEGAR & WATER SOLUTION,"COUGH, COLD & FLU"
VINPOCETINE,BRAIN HEALTH
VITAMIN A,BEAUTY
VITAMIN A & D COMBO,BONE HEALTH
VITAMIN A - D - K,BONE HEALTH
VITAMIN B COMPLEX,ENERGY SUPPORT
VITAMIN B1 (THIAMIN),ENERGY SUPPORT
VITAMIN B1 - B2 - B6 - B15,REPRODUCTIVE HEALTH
VITAMIN B12,ENERGY SUPPORT
VITAMIN B2 (RIBOFLAVIN),ENERGY SUPPORT
VITAMIN B3 (NIACIN),CARDIOVASCULAR HEALTH
VITAMIN B5 (PANTOTHENIC ACID),ENERGY SUPPORT
VITAMIN B6 (PYRIDOXINE),BRAIN HEALTH
VITAMIN C (ESTER-C ONLY),IMMUNE HEALTH
VITAMIN C (NOT ESTER-C),IMMUNE HEALTH
VITAMIN D,BONE HEALTH
VITAMIN E (ESTER-E),REPRODUCTIVE HEALTH
VITAMIN E (NOT ESTER-E),CARDIOVASCULAR HEALTH
VITAMIN K,BONE HEALTH
VITEX (CHASTE TREE BERRY),REPRODUCTIVE HEALTH
WHEAT GERM OIL (OCTOCOSANOL),ENERGY SUPPORT
WHITE KIDNEY BN (PHASEOLAMIN),WEIGHT MANAGEMENT
WHITE TEA & BLENDS,BRAIN HEALTH
WHOLE FOOD CONCENTRATE,CARDIOVASCULAR HEALTH
WILD CHERRY BARK,"COUGH, COLD & FLU"
WILD INDIGO (BAPTISIA),"COUGH, COLD & FLU"
WILD YAM,REPRODUCTIVE HEALTH
WILLOW BARK,PAIN & INFLAMMATION
WITCH HAZEL,ENERGY SUPPORT
WORMWOOD,IMMUNE HEALTH
YARROW,IMMUNE HEALTH
YEAST (NOT RD YST OR BREWERS),IMMUNE HEALTH
YEAST - BREWERS,"COUGH, COLD & FLU"
YELLOW DOCK,CLEANSE & DETOX
YERBA MATE,WEIGHT MANAGEMENT
YOHIMBE,REPRODUCTIVE HEALTH
YUCCA,JOINT HEALTH
ZINC,IMMUNE HEALTH
ZMA SUPPLEMENTS,SLEEP
